timestamp,arrival,departure,name,link1tt,link2tt,link3tt,link4tt,origin,destination,arrival_orig
2013-01-14 03:30:00,2013-01-14 03:30:00,2013-01-14 16:00:00,1058,0,0,0,0,39,45,2013-01-14 03:30:00
2013-01-14 18:00:00,2013-01-14 18:00:00,2013-01-16 09:30:00,1060,0,0,0,0,44,65,2013-01-14 18:00:00
2013-01-16 17:00:00,2013-01-16 17:00:00,2013-01-17 03:30:00,1062,0,0,0,0,39,67,2013-01-16 17:00:00
2013-01-18 16:00:00,2013-01-18 16:00:00,2013-01-19 04:30:00,1064,0,0,0,0,45,72,2013-01-18 16:00:00
2013-01-21 15:00:00,2013-01-21 15:00:00,2013-01-21 16:00:00,1066,0,0,0,0,1,7,2013-01-21 15:00:00
2013-01-23 13:00:00,2013-01-23 13:00:00,2013-01-24 17:00:00,1068,0,0,0,0,1,69,2013-01-23 13:00:00
2013-01-28 15:00:00,2013-01-28 15:00:00,2013-01-31 02:30:00,1070,0,0,0,0,1,47,2013-01-28 15:00:00
2013-02-02 12:00:00,2013-02-02 12:00:00,2013-02-02 13:30:00,1072,0,0,0,0,1,5,2013-02-02 12:00:00
2013-02-05 06:30:00,2013-02-05 06:30:00,2013-02-07 02:30:00,1074,0,0,0,0,1,65,2013-02-05 06:30:00
2013-02-08 04:00:00,2013-02-08 04:00:00,2013-02-11 04:00:00,1076,0,0,0,0,1,63,2013-02-08 04:00:00
2013-02-13 21:30:00,2013-02-13 21:30:00,2013-02-15 15:30:00,1078,0,0,0,0,1,30,2013-02-13 21:30:00
2013-02-20 15:30:00,2013-02-20 15:30:00,2013-02-20 16:00:00,1080,0,0,0,0,1,2,2013-02-20 15:30:00
2013-02-20 22:00:00,2013-02-20 22:00:00,2013-02-23 02:00:00,1082,0,0,0,0,1,37,2013-02-20 22:00:00
2013-02-24 18:30:00,2013-02-24 18:30:00,2013-02-26 15:30:00,1084,0,0,0,0,1,64,2013-02-24 18:30:00
2013-03-06 19:00:00,2013-03-06 19:00:00,2013-03-06 20:00:00,1086,0,0,0,0,1,2,2013-03-06 19:00:00
2013-03-08 11:30:00,2013-03-08 11:30:00,2013-03-08 13:00:00,1088,0,0,0,0,1,4,2013-03-08 11:30:00
2013-03-08 20:00:00,2013-03-08 20:00:00,2013-03-13 15:30:00,1090,0,0,0,0,1,61,2013-03-08 20:00:00
2013-03-14 11:30:00,2013-03-14 11:30:00,2013-03-16 10:30:00,1092,0,0,0,0,1,67,2013-03-14 11:30:00
2013-03-18 16:30:00,2013-03-18 16:30:00,2013-03-20 04:00:00,1094,0,0,0,0,2,70,2013-03-18 16:30:00
2013-03-21 00:30:00,2013-03-21 00:30:00,2013-03-21 01:00:00,1096,0,0,0,0,7,8,2013-03-21 00:30:00
2013-03-23 04:30:00,2013-03-23 04:30:00,2013-03-23 15:30:00,1098,0,0,0,0,1,59,2013-03-23 04:30:00
2013-03-26 21:30:00,2013-03-26 21:30:00,2013-03-28 16:30:00,1100,0,0,0,0,1,72,2013-03-26 21:30:00
2013-03-29 18:00:00,2013-03-29 18:00:00,2013-04-16 16:30:00,1102,0,0,0,0,1,56,2013-03-29 18:00:00
2013-04-18 04:00:00,2013-04-18 04:00:00,2013-04-19 03:30:00,1104,0,0,0,0,4,18,2013-04-18 04:00:00
2013-04-20 16:00:00,2013-04-20 16:00:00,2013-04-21 02:30:00,1106,0,0,0,0,16,46,2013-04-20 16:00:00
2013-04-21 17:30:00,2013-04-21 17:30:00,2013-04-23 16:30:00,1108,0,0,0,0,16,43,2013-04-21 17:30:00
2013-04-25 04:00:00,2013-04-25 04:00:00,2013-04-26 03:30:00,1110,0,0,0,0,2,60,2013-04-25 04:00:00
2013-05-02 15:30:00,2013-05-02 15:30:00,2013-05-03 04:00:00,1112,0,0,0,0,8,46,2013-05-02 15:30:00
2013-05-08 13:00:00,2013-05-08 13:00:00,2013-05-08 17:30:00,1114,0,0,0,0,16,24,2013-05-08 13:00:00
2013-05-09 19:00:00,2013-05-09 19:00:00,2013-05-12 17:30:00,1116,0,0,0,0,8,49,2013-05-09 19:00:00
2013-05-13 17:00:00,2013-05-13 17:00:00,2013-05-17 04:00:00,1118,0,0,0,0,4,45,2013-05-13 17:00:00
2013-05-19 14:00:00,2013-05-19 14:00:00,2013-05-21 03:30:00,1120,0,0,0,0,1,61,2013-05-19 14:00:00
2013-05-21 10:30:00,2013-05-21 10:30:00,2013-05-22 03:00:00,1122,0,0,0,0,21,35,2013-05-21 10:30:00
2013-05-23 03:00:00,2013-05-23 03:00:00,2013-05-23 17:30:00,1124,0,0,0,0,4,45,2013-05-23 03:00:00
2013-05-24 13:00:00,2013-05-24 13:00:00,2013-05-25 09:00:00,1126,0,0,0,0,4,36,2013-05-24 13:00:00
2013-01-01 00:00:00,2013-01-01 00:00:00,2013-01-01 04:00:00,1127,0,0,0,0,16,34,2013-01-01 00:00:00
2013-01-02 22:00:00,2013-01-02 22:00:00,2013-01-03 16:00:00,1129,0,0,0,0,1,36,2013-01-02 22:00:00
2013-01-04 02:00:00,2013-01-04 02:00:00,2013-01-04 18:30:00,1131,0,0,0,0,13,14,2013-01-04 02:00:00
2013-01-04 19:00:00,2013-01-04 19:00:00,2013-01-04 22:30:00,1133,0,0,0,0,13,14,2013-01-04 19:00:00
2013-01-04 23:00:00,2013-01-04 23:00:00,2013-01-05 15:00:00,1135,0,0,0,0,13,14,2013-01-04 23:00:00
2013-01-05 15:30:00,2013-01-05 15:30:00,2013-01-06 18:00:00,1137,0,0,0,0,13,14,2013-01-05 15:30:00
2013-01-09 16:30:00,2013-01-09 16:30:00,2013-01-09 18:30:00,1139,0,0,0,0,1,2,2013-01-09 16:30:00
2013-01-09 19:00:00,2013-01-09 19:00:00,2013-01-10 03:30:00,1141,0,0,0,0,1,31,2013-01-09 19:00:00
2013-01-11 00:00:00,2013-01-11 00:00:00,2013-01-11 19:00:00,1143,0,0,0,0,13,14,2013-01-11 00:00:00
2013-01-11 19:30:00,2013-01-11 19:30:00,2013-01-12 19:00:00,1145,0,0,0,0,13,14,2013-01-11 19:30:00
2013-01-12 20:30:00,2013-01-12 20:30:00,2013-01-12 22:30:00,1147,0,0,0,0,13,14,2013-01-12 20:30:00
2013-01-14 04:00:00,2013-01-14 04:00:00,2013-01-14 04:30:00,1149,0,0,0,0,1,2,2013-01-14 04:00:00
2013-01-14 05:00:00,2013-01-14 05:00:00,2013-01-14 08:30:00,1151,0,0,0,0,1,2,2013-01-14 05:00:00
2013-01-14 09:30:00,2013-01-14 09:30:00,2013-01-15 03:00:00,1153,0,0,0,0,1,63,2013-01-14 09:30:00
2013-01-18 02:00:00,2013-01-18 02:00:00,2013-01-18 12:30:00,1155,0,0,0,0,1,14,2013-01-18 02:00:00
2013-01-18 13:30:00,2013-01-18 13:30:00,2013-01-18 14:30:00,1157,0,0,0,0,13,14,2013-01-18 13:30:00
2013-01-18 22:00:00,2013-01-18 22:00:00,2013-01-19 00:30:00,1159,0,0,0,0,13,14,2013-01-18 22:00:00
2013-01-19 01:30:00,2013-01-19 01:30:00,2013-01-19 07:30:00,1161,0,0,0,0,13,14,2013-01-19 01:30:00
2013-01-19 16:00:00,2013-01-19 16:00:00,2013-01-20 17:00:00,1163,0,0,0,0,13,14,2013-01-19 16:00:00
2013-01-22 22:00:00,2013-01-22 22:00:00,2013-01-23 02:30:00,1165,0,0,0,0,1,26,2013-01-22 22:00:00
