"who","heading","birthday","origin","destination","deathday","id","systemtime"
"386376",90,962,"15","37",994,"365",16
"390237",270,974,"62","56",975,"2104",0.5
"390238",90,976,"56","58",978,"2105",1
"390239",270,977,"58","28",987,"2106",5
"394040",270,987,"74","10",1011,"2411",12
"397936",90,998,"38","68",1027,"751",14.5
"397937",270,998,"30","6",1008,"2583",5
"401823",90,1008,"3","32",1030,"1461",11
"409610",90,1024,"31","71",1079,"2065",27.5
"409611",270,1024,"32","7",1031,"1462",3.5
"41300",270,74,"74","44",84,"272",5
"41301",270,76,"74","39",91,"2253",7.5
"413514",270,1036,"74","49",1045,"2290",4.5
"417390",90,1045,"49","74",1060,"2291",7.5
"417391",90,1048,"10","74",1103,"2412",27.5
"425143",90,1069,"71","74",1071,"2871",1
"425144",270,1069,"71","19",1092,"2066",11.5
"429065",90,1071,"11","28",1086,"1152",7.5
"436810",90,1095,"56","71",1118,"1942",11.5
"436811",90,1096,"38","74",1132,"2650",18
"436812",270,1097,"74","3",1127,"447",15
"444533",90,1110,"20","74",1158,"296",24
"448374",90,1125,"69","71",1126,"1944",0.5
"448375",270,1127,"71","38",1144,"1945",8.5
"448376",270,1128,"74","5",1161,"759",16.5
"45192",90,86,"13","20",91,"254",2.5
"45193",270,88,"73","39",100,"1844",6
"452267",270,1133,"74","29",1159,"1227",13
"452268",270,1134,"74","13",1176,"2874",21
"460059",90,1150,"32","74",1177,"2817",13.5
"460060",90,1153,"11","28",1170,"1053",8.5
"467731",90,1172,"7","62",1258,"626",43
"475533",90,1190,"29","74",1265,"1228",37.5
"475534",270,1190,"28","11",1197,"1054",3.5
"483297",270,1210,"62","22",1222,"627",6
"487222",270,1224,"74","19",1248,"297",12
"49079",270,98,"74","23",120,"2857",11
"491169",90,1237,"19","48",1262,"2067",12.5
"502915",270,1263,"48","28",1271,"2068",4
"506763",90,1274,"61","62",1275,"2300",0.5
"510676",90,1284,"22","74",1323,"2876",19.5
"510677",90,1285,"56","68",1295,"2359",5
"518408",90,1302,"9","74",1387,"485",42.5
"522304",90,1310,"14","74",1387,"2721",38.5
"526131",270,1321,"74","19",1343,"2818",11
"529967",90,1335,"6","68",1386,"298",25.5
"529968",90,1339,"19","20",1341,"1018",1
"541540",90,1360,"6","74",1407,"371",23.5
"545421",270,1370,"68","40",1383,"2360",6.5
"545421",270,1370,"68","40",1384,"2360",7
"545423",270,1377,"62","30",1387,"2305",5
"549304",270,1382,"20","11",1384,"1019",1
"557071",90,1405,"67","74",1416,"300",5.5
"557072",90,1408,"30","62",1428,"2306",10
"560938",90,1418,"57","74",1436,"1233",9
"568701",90,1432,"28","31",1434,"2038",1
"56885",270,110,"74","40",124,"2353",7
"56886",90,112,"28","74",171,"2403",29.5
"56887",270,112,"20","8",114,"255",1
"572568",270,1441,"74","18",1462,"486",10.5
"576434",90,1455,"15","55",1514,"2723",29.5
"580285",270,1467,"62","11",1486,"2307",9.5
"584111",270,1473,"74","29",1491,"1234",9
"584112",90,1479,"11","74",1576,"2308",48.5
"595719",90,1505,"9","20",1510,"1020",2.5
"595720",270,1505,"31","19",1507,"2039",1
"595721",270,1509,"55","37",1512,"2724",1.5
"603432",90,1526,"29","74",1648,"1235",61
"603434",90,1527,"19","22",1529,"2040",1
"607315",90,1530,"37","74",1578,"2725",24
"622787",270,1573,"22","11",1579,"2041",3
"622788",90,1574,"3","68",1630,"2819",28
"626669",270,1589,"74","8",1613,"1236",12
"630545",270,1590,"74","38",1606,"2726",8
"630546",90,1599,"61","62",1600,"913",0.5
"634387",90,1603,"38","68",1636,"2727",16.5
"634389",90,1609,"61","62",1611,"915",1
"638235",270,1616,"71","38",1629,"1947",6.5
"638236",270,1617,"74","19",1640,"2877",11.5
"642147",90,1621,"11","55",1652,"2042",15.5
"642148",270,1621,"22","8",1628,"1146",3.5
"642149",90,1624,"8","74",1689,"1237",32.5
"646032",90,1636,"67","74",1642,"2821",3
"646033",270,1639,"62","30",1654,"2228",7.5
"649825",90,1641,"67","74",1648,"2729",3.5
"649826",270,1644,"55","29",1659,"2043",7.5
"649827",90,1647,"19","74",1700,"2878",26.5
"665347",90,1688,"67","73",1695,"2110",3.5
"669216",90,1697,"37","74",1726,"531",14.5
"676941",90,1717,"61","62",1718,"925",0.5
"676942",270,1717,"74","23",1732,"2822",7.5
"676943",90,1718,"2","31",1736,"1849",9
"684825",270,1731,"74","4",1761,"450",15
"684826",270,1736,"62","57",1737,"932",0.5
"68529",270,144,"74","19",170,"743",13
"688712",90,1744,"14","74",1791,"2361",23.5
"696437",270,1764,"57","40",1767,"762",1.5
"696438",90,1765,"14","57",1797,"2652",16
"696439",270,1765,"74","50",1775,"2310",5
"700341",270,1771,"74","39",1792,"532",10.5
"704217",90,1782,"50","62",1789,"2311",3.5
"704218",270,1785,"74","17",1806,"284",10.5
"708099",90,1791,"15","29",1804,"2158",6.5
"711976",270,1803,"74","59",1809,"1238",3
"715890",90,1810,"55","74",1828,"2654",9
"715891",90,1812,"34","74",1853,"2880",20.5
"715892",90,1816,"6","25",1830,"1104",7
"723617",90,1830,"61","74",1850,"2317",10
"723618",270,1838,"74","8",1867,"2413",14.5
"72395",90,159,"29","32",162,"2032",1.5
"727499",90,1841,"10","30",1872,"2187",15.5
"735177",270,1862,"74","61",1868,"2362",3
"735178",90,1863,"5","31",1884,"1845",10.5
"735179",270,1863,"30","6",1874,"2188",5.5
"735180",270,1864,"74","61",1866,"2318",1
"739056",90,1870,"61","62",1871,"2363",0.5
"739058",90,1873,"61","62",1874,"2365",0.5
"739060",90,1876,"61","62",1877,"2319",0.5
"742956",270,1880,"74","38",1894,"2883",7
"742958",270,1884,"74","31",1909,"1466",12.5
"742960",90,1889,"29","59",1913,"2824",12
"742961",270,1889,"74","23",1916,"2657",13.5
"754542",90,1910,"8","48",1941,"2414",15.5
"762334",270,1935,"74","18",1960,"452",12.5
