"who","heading","birthday","origin","destination","deathday","id","systemtime"
"827456",270,2107,"74","25",2128,"1068",10.5
"835172",90,2127,"19","33",2137,"142",5
"835173",270,2127,"19","13",2128,"216",0.5
"83824",90,181,"28","31",183,"1725",1
"83825",90,184,"19","74",311,"638",63.5
"839041",90,2131,"29","74",2163,"2067",16
"839043",270,2138,"62","24",2151,"1900",6.5
"842834",90,2149,"4","74",2227,"1254",39
"846690",270,2154,"74","11",2175,"257",10.5
"850556",270,2167,"73","24",2187,"2452",10
"854397",90,2175,"25","74",2230,"1069",27.5
"861978",270,2196,"41","30",2199,"1759",1.5
"861979",90,2199,"24","61",2230,"1901",15.5
"869630",270,2211,"74","12",2243,"1255",16
"873517",90,2225,"14","28",2241,"2405",8
"873518",270,2225,"33","19",2228,"1736",1.5
"877404",270,2231,"74","32",2244,"1987",6.5
"877405",270,2238,"28","7",2249,"2406",5.5
"881271",270,2240,"74","2",2274,"455",17
"881272",90,2246,"7","48",2274,"2407",14
"881273",270,2249,"71","27",2271,"1665",11
"892820",90,2272,"2","74",2503,"2259",115.5
"892821",90,2275,"27","71",2304,"1666",14.5
"896662",90,2284,"2","74",2367,"456",41.5
"900498",90,2293,"35","74",2324,"1071",15.5
"908199",270,2313,"74","18",2334,"2068",10.5
"908199",270,2313,"74","18",2335,"2068",11
"91521",270,203,"74","17",226,"1241",11.5
"91523",90,207,"22","74",322,"230",57.5
"919806",90,2344,"18","74",2390,"2069",23
"927522",270,2366,"74","38",2381,"1257",7.5
"931390",270,2375,"74","37",2391,"2260",8
"939142",90,2390,"11","29",2401,"922",5.5
"939143",90,2391,"38","74",2504,"1258",56.5
"939144",270,2391,"20","2",2395,"1010",2
"939145",270,2393,"74","17",2417,"1989",12
"950716",270,2425,"74","19",2447,"655",11
"95345",90,210,"19","62",278,"770",34
"958464",270,2449,"74","29",2470,"1259",10.5
"966165",90,2464,"19","74",2521,"656",28.5
"966166",270,2464,"13","5",2466,"731",1
"973947",90,2488,"29","74",2538,"1260",25
"981733",270,2508,"74","11",2539,"326",15.5
"985564",90,2511,"36","74",2547,"2321",18
"985565",90,2519,"6","71",2570,"1856",25.5
"993266",90,2532,"17","74",2588,"1990",28
