"who","heading","birthday","origin","destination","deathday","id","systemtime"
"196331",270,473,"29","9",481,"988",4
"204067",90,496,"9","28",513,"989",8.5
"204068",90,499,"11","62",761,"1319",131
"207907",90,505,"68","74",521,"2429",8
"215583",90,520,"15","36",537,"2389",8.5
"21932",270,25,"74","2",55,"447",15
"219439",90,532,"36","74",780,"2309",124
"219440",90,535,"19","74",790,"2053",127.5
"223356",90,543,"12","74",794,"1051",125.5
"223357",270,546,"36","5",559,"2390",6.5
"227245",90,557,"61","74",571,"1934",7
"235061",270,570,"74","16",774,"2430",102
"238872",90,581,"2","74",805,"232",112
"250518",270,615,"74","14",782,"2310",83.5
"254372",90,621,"67","74",630,"1569",4.5
"254375",90,628,"11","33",646,"1827",9
"258321",90,631,"9","74",840,"1852",104.5
"25858",90,36,"37","73",75,"1555",19.5
"266109",90,650,"67","74",655,"450",2.5
"266111",90,656,"71","74",658,"2055",1
"269903",90,661,"73","74",662,"234",0.5
"269904",90,662,"12","74",821,"1940",79.5
"281510",270,698,"74","10",808,"451",55
"285341",270,706,"74","11",814,"235",54
"285342",90,709,"29","62",819,"520",55
"293058",90,723,"16","74",848,"2431",62.5
"293059",270,725,"74","39",741,"1366",8
"293059",270,725,"74","39",742,"1366",8.5
"296880",90,733,"10","74",855,"452",61
"296881",270,735,"12","4",737,"905",1
"296883",90,738,"39","74",839,"1367",50.5
"296883",90,738,"39","74",841,"1367",51.5
"300740",270,747,"74","10",837,"1853",45
"304586",90,755,"61","74",779,"524",12
"304587",90,759,"4","28",774,"906",7.5
"308443",270,762,"74","29",834,"2005",36
"308444",270,765,"74","61",767,"525",1
"316255",90,785,"5","28",806,"2391",10.5
"323952",270,802,"74","18",841,"1052",19.5
"323953",270,804,"74","61",806,"1941",1
"323954",90,806,"71","74",808,"2433",1
"327780",90,819,"3","74",863,"1244",22
"327781",270,819,"28","3",828,"2392",4.5
"331657",270,829,"62","3",852,"527",11.5
"335544",90,833,"67","74",845,"1752",6
"335545",270,839,"74","31",862,"1753",11.5
"339403",90,847,"71","74",849,"2435",1
"339404",270,848,"74","20",875,"2056",13.5
"343261",270,850,"62","12",867,"1892",8.5
"343263",90,853,"15","26",864,"758",5.5
"343264",270,857,"26","21",858,"759",0.5
"347090",270,862,"62","55",863,"1320",0.5
"347092",90,866,"3","62",912,"528",23
"350938",90,878,"55","74",893,"1321",7.5
"350939",90,879,"3","74",953,"2393",37
"354801",90,883,"20","74",944,"2057",30.5
"362562",270,904,"74","3",935,"1245",15.5
"374253",90,930,"61","74",948,"1950",9
"374254",270,930,"74","11",956,"1322",13
"37479",90,65,"10","74",130,"2008",32.5
"37480",270,65,"37","9",75,"302",5
"381965",90,951,"18","74",1007,"1053",28
"381966",270,951,"74","38",964,"641",6.5
"381967",90,958,"3","30",983,"2197",12.5
"385853",90,962,"15","37",993,"311",15.5
"385854",90,968,"11","74",1035,"250",33.5
"389715",270,974,"62","56",975,"1781",0.5
"389716",90,976,"56","58",977,"1782",0.5
"389717",270,977,"58","28",988,"1783",5.5
"393588",270,987,"74","10",1034,"2058",23.5
"397494",90,998,"38","68",1033,"642",17.5
"397495",270,998,"30","6",1005,"2198",3.5
"401336",90,1008,"3","32",1034,"1246",13
"409003",90,1024,"6","74",1091,"2199",33.5
"409004",270,1024,"32","7",1039,"1247",7.5
"409005",90,1027,"28","68",1063,"1784",18
"412813",270,1036,"74","49",1047,"1951",5.5
"41366",270,74,"74","22",95,"229",10.5
"41367",270,76,"74","39",93,"1915",8.5
"416744",90,1045,"49","74",1074,"1952",14.5
"416745",90,1048,"10","74",1094,"2059",23
"420611",90,1057,"7","13",1060,"1248",1.5
"424438",90,1069,"71","74",1070,"2437",0.5
"424439",270,1069,"71","19",1087,"1755",9
"432236",90,1082,"73","74",1084,"2439",1
"436079",90,1095,"56","71",1107,"1642",6
"436080",270,1097,"74","3",1126,"382",14.5
"447679",90,1121,"73","74",1122,"648",0.5
"447681",90,1125,"69","71",1126,"1644",0.5
"447682",270,1127,"71","10",1155,"1645",14
"447683",270,1128,"74","5",1163,"649",17.5
"451459",270,1133,"74","29",1156,"1056",11.5
"451460",270,1134,"74","13",1172,"2440",19
"45223",90,86,"13","20",92,"213",3
"45224",270,88,"73","5",117,"1556",14.5
"455346",90,1147,"3","74",1203,"383",28
"466912",270,1173,"74","14",1194,"2252",10.5
"474633",90,1190,"29","74",1222,"1057",16
"474634",270,1190,"28","11",1196,"907",3
"474635",90,1193,"13","74",1292,"2441",49.5
"474636",90,1196,"5","57",1261,"650",32.5
"474637",270,1197,"74","61",1199,"1953",1
"478503",90,1206,"11","29",1224,"908",9
"482340",270,1210,"62","22",1220,"529",5
"482342",90,1218,"61","62",1219,"1956",0.5
"486230",270,1224,"74","6",1249,"251",12.5
"490107",90,1237,"19","48",1261,"1756",12
"49065",270,98,"74","23",120,"2426",11
"501788",270,1263,"48","8",1275,"1757",6
"505631",90,1274,"61","62",1275,"1960",0.5
"517304",90,1302,"9","74",1356,"414",27
"521165",90,1310,"14","74",1358,"2311",24
"521166",90,1316,"13","74",1396,"1061",40
"525018",270,1321,"74","3",1349,"2394",14
"528919",90,1335,"6","68",1387,"252",26
"528920",90,1339,"19","20",1340,"875",0.5
"540617",90,1360,"6","74",1421,"317",30.5
"544475",270,1377,"62","30",1388,"1965",5.5
"548291",270,1382,"20","9",1384,"876",1
"556093",90,1405,"67","74",1413,"254",4
"556094",90,1408,"30","62",1436,"1966",14
"567672",90,1432,"28","31",1433,"1729",0.5
"567673",270,1432,"74","17",1455,"318",11.5
"56881",270,110,"74","17",131,"2009",10.5
"56882",90,112,"28","74",144,"2051",16
"56883",270,112,"20","8",114,"214",1
"571609",270,1441,"74","18",1461,"415",10
"571609",270,1441,"74","18",1462,"415",10.5
"575480",90,1455,"15","55",1488,"2313",16.5
"579336",270,1467,"62","11",1486,"1967",9.5
"583192",270,1473,"74","29",1494,"1062",10.5
"583193",90,1479,"11","74",1533,"1968",27
"590969",90,1490,"5","23",1499,"136",4.5
"594845",90,1505,"9","20",1511,"877",3
"594846",270,1505,"31","19",1508,"1730",1.5
"594847",270,1509,"55","37",1513,"2314",2
"602588",90,1526,"29","74",1564,"1063",19
"602589",90,1527,"19","22",1528,"1731",0.5
