"who","heading","birthday","origin","destination","deathday","id","systemtime"
"625465",270,1589,"74","8",1615,"1236",13
"629321",270,1590,"74","38",1605,"2726",7.5
"633188",90,1603,"38","68",1656,"2727",26.5
"637096",270,1616,"71","38",1630,"1947",7
"637097",270,1617,"74","19",1643,"2877",13
"641003",90,1621,"11","55",1673,"2042",26
"641004",270,1621,"22","8",1629,"1146",4
"641005",90,1624,"8","74",1695,"1237",35.5
"644883",90,1636,"67","74",1642,"2821",3
"644884",270,1639,"62","30",1650,"2228",5.5
"648751",90,1641,"67","74",1647,"2729",3
"648752",270,1644,"55","29",1655,"2043",5.5
"648753",90,1647,"19","74",1706,"2878",29.5
"664258",90,1688,"67","73",1698,"2110",5
"668187",90,1697,"37","74",1736,"531",19.5
"675983",270,1717,"74","23",1736,"2822",9.5
"675984",90,1718,"2","31",1741,"1849",11.5
"68244",270,144,"74","19",166,"743",11
"683681",270,1731,"74","4",1755,"450",12
"683682",270,1736,"62","57",1737,"932",0.5
"687543",90,1744,"14","74",1857,"2361",56.5
"695318",270,1764,"57","40",1767,"762",1.5
"695319",90,1765,"14","57",1824,"2652",29.5
"695320",270,1765,"74","50",1776,"2310",5.5
"699222",270,1771,"74","39",1786,"532",7.5
"703083",90,1782,"50","62",1793,"2311",5.5
"703084",270,1785,"74","17",1817,"284",16
"706960",90,1791,"15","29",1805,"2158",7
"710862",270,1803,"74","59",1809,"1238",3
"714746",90,1810,"55","74",1827,"2654",8.5
"714747",90,1812,"34","74",1858,"2880",23
"714748",90,1816,"6","25",1830,"1104",7
"72050",90,159,"29","32",161,"2032",1
"722508",90,1830,"61","74",1854,"2317",12
"722509",270,1838,"74","8",1869,"2413",15.5
"726320",90,1841,"10","30",1856,"2187",7.5
"734078",270,1862,"74","61",1864,"2362",1
"734079",90,1863,"5","31",1913,"1845",25
"734080",270,1863,"30","6",1876,"2188",6.5
"737916",90,1876,"61","62",1877,"2319",0.5
"741804",270,1884,"74","31",1902,"1466",9
"741806",90,1889,"29","59",1923,"2824",17
"741807",270,1889,"74","23",1916,"2657",13.5
"753433",90,1910,"8","48",1953,"2414",21.5
"75921",90,162,"5","74",272,"2808",55
"761190",270,1935,"74","18",1959,"452",12
"761191",90,1936,"38","74",1980,"2884",22
"765108",270,1942,"62","29",1962,"2324",10
"769039",90,1957,"37","74",2018,"763",30.5
"772880",90,1960,"2","70",2010,"2113",25
"780602",270,1980,"74","38",1995,"1468",7.5
"780603",90,1983,"11","74",2047,"1557",32
"780604",270,1983,"13","2",1985,"1959",1
"780605",90,1986,"29","74",2030,"2585",22
"788376",270,2008,"74","12",2043,"764",17.5
"792252",270,2013,"74","29",2040,"2586",13.5
"796144",90,2027,"70","74",2030,"2827",1.5
"800021",270,2030,"74","40",2042,"286",6
"800022",90,2033,"11","74",2116,"302",41.5
"800023",270,2034,"74","9",2065,"2885",15.5
"800025",270,2037,"68","56",2039,"2116",1
"803941",90,2045,"56","58",2046,"2117",0.5
"803943",270,2047,"58","41",2051,"2118",2
"807791",90,2054,"9","73",2122,"2886",34
"807792",270,2054,"24","19",2055,"160",0.5
"811693",270,2061,"74","56",2066,"374",2.5
"815541",270,2075,"57","3",2097,"378",11
"819417",90,2080,"17","23",2083,"2416",1.5
"819418",270,2082,"74","25",2104,"1560",11
"819419",270,2083,"23","2",2093,"2417",5
"819420",90,2084,"15","19",2088,"257",2
"823368",270,2098,"74","29",2120,"2829",11
"827205",90,2102,"8","39",2123,"2069",10.5
"827207",90,2105,"2","30",2128,"2418",11.5
"827208",270,2107,"74","25",2133,"1241",13
"834944",90,2127,"19","33",2138,"161",5.5
"838862",90,2131,"29","74",2180,"2420",24.5
"838863",270,2131,"33","10",2141,"162",5
"838864",270,2138,"62","24",2150,"2235",6
"842660",90,2149,"4","74",2244,"1469",47.5
"854197",90,2175,"25","74",2224,"1242",24.5
"861883",270,2196,"41","30",2198,"2070",1
"869614",270,2211,"74","12",2242,"1470",15.5
"873495",90,2222,"27","71",2280,"1964",29
"873496",90,2225,"14","28",2240,"2832",7.5
"873497",270,2225,"33","29",2226,"2045",0.5
"877348",270,2231,"74","32",2253,"2328",11
"877349",270,2238,"28","7",2246,"2833",4
"881250",270,2240,"74","2",2274,"534",17
"881251",90,2246,"32","73",2285,"2329",19.5
"881252",270,2249,"71","27",2271,"1965",11
"892849",90,2272,"2","74",2345,"2658",36.5
"900570",90,2293,"35","74",2323,"1244",15
"908336",270,2313,"74","18",2336,"2421",11.5
"91432",270,203,"74","29",220,"1456",8.5
"91434",90,207,"22","74",273,"273",33
"931501",270,2375,"74","41",2385,"2659",5
"939239",90,2391,"38","74",2420,"1473",14.5
"939241",270,2393,"74","58",2401,"2331",4
"950767",270,2425,"74","19",2447,"766",11
"95311",90,210,"19","62",264,"903",27
"958484",270,2449,"74","29",2470,"1474",10.5
"966245",270,2464,"13","5",2465,"850",0.5
"966246",90,2467,"38","74",2494,"2423",13.5
"981717",270,2508,"74","39",2518,"381",5
"985608",90,2511,"36","74",2555,"2731",22
"985609",270,2511,"21","11",2513,"1110",1
"993391",90,2532,"17","74",2601,"2332",34.5
